order_id,customer_id,order_date,product_category,product_name,quantity,price_rub,total_rub,status,return_reason,return_date,delivery_city,payment_method
ORD-001,CUST-001,2024-01-05,Смесители,Смеситель для кухни Grohe Eurosmart,1,8950,8950,Доставлен,,,Москва,Карта
ORD-002,CUST-002,2024-01-06,Ванны,Акриловая ванна Ravak BeHappy 150x70,1,28990,28990,Доставлен,,,Санкт-Петербург,Карта
ORD-003,CUST-003,2024-01-07,Смесители,Смеситель для ванной Hansgrohe Focus,1,12450,12450,Доставлен,,,Москва,Наличные
ORD-004,CUST-004,2024-01-08,Душевые кабины,Душевая кабина Riho Advantage Q100,1,45990,45990,Доставлен,,,Казань,Карта
ORD-005,CUST-005,2024-01-09,Унитазы,Унитаз напольный Roca Gap,1,7990,7990,Возврат покупателем,Брак товара при получении,2024-01-15,Нижний Новгород,Карта
ORD-006,CUST-006,2024-01-10,Смесители,Смеситель для кухни Jacob Delafon Patio,1,15600,15600,Доставлен,,,Москва,Карта
ORD-007,CUST-007,2024-01-11,Ванны,Чугунная ванна Vivat Standard 170x70,1,18990,18990,Доставлен,,,Санкт-Петербург,Карта
ORD-008,CUST-008,2024-01-12,Душевые кабины,Душевая кабина Triton Carma 90x90,1,32990,32990,Доставлен,,,Екатеринбург,Наличные
ORD-009,CUST-009,2024-01-13,Унитазы,Унитаз подвесной Duravit Happy D,1,13990,13990,Доставлен,,,Москва,Карта
ORD-010,CUST-010,2024-01-14,Аксессуары,Мыльница подвесная Haceka Mezzo,2,890,1780,Доставлен,,,Новосибирск,Карта
ORD-011,CUST-011,2024-01-15,Смесители,Смеситель для ванной Oras Vienda,1,9450,9450,Доставлен,,,Москва,Карта
ORD-012,CUST-012,2024-01-16,Ванны,Душевой поддон Keramag Centaur,1,11990,11990,Возврат покупателем,Не подошел по размерам,2024-01-22,Санкт-Петербург,Карта
ORD-013,CUST-013,2024-01-17,Душевые кабины,Душевая кабина Appollo Bio 90x90,1,28990,28990,Доставлен,,,Казань,Карта
ORD-014,CUST-014,2024-01-18,Унитазы,Унитаз-компакт Ideal Standard Connect,1,8990,8990,Доставлен,,,Москва,Наличные
ORD-015,CUST-015,2024-01-19,Аксессуары,Полотенцесушитель водяной,1,6990,6990,Доставлен,,,Нижний Новгород,Карта
ORD-016,CUST-016,2024-01-20,Смесители,Смеситель для кухни Lemark Sense,1,7490,7490,Доставлен,,,Москва,Карта
ORD-017,CUST-017,2024-01-21,Ванны,Ванна акриловая Cersanit Vigo,1,21990,21990,Доставлен,,,Санкт-Петербург,Карта
ORD-018,CUST-018,2024-01-22,Душевые кабины,Душевой уголок River Ariel,1,19990,19990,Доставлен,,,Екатеринбург,Наличные
ORD-019,CUST-019,2024-01-23,Унитазы,Унитаз подвесной Geberit AquaClean,1,35990,35990,Возврат покупателем,Завышена цена,2024-01-29,Москва,Карта
ORD-020,CUST-020,2024-01-24,Аксессуары,Крючки для ванной (набор),1,490,490,Доставлен,,,Новосибирск,Карта
ORD-021,CUST-021,2024-01-25,Смесители,Смеситель для ванной Vidima Tahiti,1,11200,11200,Доставлен,,,Москва,Карта
